,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
7049,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
7050,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed
7051,0,8 - 10 years,2 - 4 years,College degree,Woman,Education,well payed
7052,0,11 - 20 years,8 - 10 years,PhD,Woman,Other,well payed
7053,3,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,well payed
7054,3,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,very well payed
7055,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed
7056,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,very well payed
7057,0,31 - 40 years,31 - 40 years,Some college,Woman,Banking & Insurance,well payed
7058,1,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed
7060,3,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed
7061,3,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,well payed
7062,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
7063,3,2 - 4 years,5-7 years,College degree,Woman,Culture,bad payed
7065,3,31 - 40 years,21 - 30 years,High School,Woman,Technology & Science,bad payed
7066,0,2 - 4 years,2 - 4 years,High School,Woman,Industry,bad payed
7067,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed
7068,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed
7069,0,11 - 20 years,2 - 4 years,Some college,Woman,Industry,well payed
7072,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
7073,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed
7074,0,21 - 30 years,11 - 20 years,Some college,Woman,Health,bad payed
7075,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
7076,1,21 - 30 years,21 - 30 years,High School,Man,Banking & Insurance,well payed
7077,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Other,very well payed
7078,1,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
7079,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
7080,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
7081,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
7082,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
7083,3,21 - 30 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
7084,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
7085,3,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,bad payed
7086,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Banking & Insurance,very well payed
7087,2,1 year or less,1 year or less,PhD,Woman,Public & Government,well payed
7088,2,11 - 20 years,8 - 10 years,PhD,Woman,Public & Government,very well payed
7089,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
7090,0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,bad payed
7091,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
7092,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
7093,0,41 years or more,41 years or more,Some college,Woman,Law,well payed
7094,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
7095,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
7096,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
7097,3,8 - 10 years,8 - 10 years,PhD,Woman,Technology & Science,very well payed
7098,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,well payed
7099,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,well payed
7100,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
7101,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,bad payed
7102,1,5-7 years,2 - 4 years,College degree,Man,Other,bad payed
7103,0,8 - 10 years,5-7 years,Master's degree,Woman,Health,bad payed
7104,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
7105,0,11 - 20 years,8 - 10 years,Some college,Woman,Non profit Organization,well payed
7106,3,8 - 10 years,8 - 10 years,High School,Woman,Technology & Science,well payed
7107,0,11 - 20 years,8 - 10 years,Master's degree,Man,Culture,bad payed
7108,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
7109,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
7110,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
7111,1,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,Technology & Science,well payed
7112,0,11 - 20 years,8 - 10 years,Some college,Woman,Culture,well payed
7113,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
7114,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,bad payed
7115,0,5-7 years,1 year or less,Master's degree,Woman,Non profit Organization,bad payed
7116,0,8 - 10 years,1 year or less,Master's degree,Woman,Unidentified,bad payed
7117,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
7118,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,bad payed
7119,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,well payed
7120,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
7121,0,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,very well payed
7122,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,bad payed
7123,0,5-7 years,5-7 years,Master's degree,Woman,Consulting,well payed
7124,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
7125,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
7126,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
7127,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,bad payed
7128,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,bad payed
7129,3,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,very well payed
7130,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
7131,3,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed
7132,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
7133,0,5-7 years,5-7 years,College degree,Woman,Education,well payed
7134,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,very well payed
7135,3,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
7136,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
7137,1,5-7 years,2 - 4 years,College degree,Man,Banking & Insurance,well payed
7138,2,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
7139,1,8 - 10 years,5-7 years,College degree,Man,Industry,well payed
7140,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
7141,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,bad payed
7142,3,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,bad payed
7144,3,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
7145,0,11 - 20 years,11 - 20 years,Some college,Woman,Other,bad payed
7146,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
7147,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,bad payed
7149,0,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,well payed
7150,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,very well payed
7151,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
7152,0,8 - 10 years,5-7 years,Master's degree,Non-binary,Education,bad payed
7154,3,5-7 years,5-7 years,PhD,Woman,Technology & Science,well payed
7155,3,31 - 40 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
7156,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
7157,2,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
7158,0,5-7 years,1 year or less,Master's degree,Woman,Technology & Science,well payed
7159,3,5-7 years,5-7 years,College degree,Woman,Health,well payed
7160,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,well payed
7161,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
7162,0,5-7 years,5-7 years,Master's degree,Woman,Health,bad payed
7163,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
7165,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,well payed
7166,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
7167,0,21 - 30 years,2 - 4 years,Master's degree,Woman,Education,well payed
7168,0,11 - 20 years,1 year or less,Master's degree,Woman,Health,bad payed
7169,3,8 - 10 years,5-7 years,College degree,Woman,Other,well payed
7170,3,5-7 years,2 - 4 years,College degree,Woman,Consulting,well payed
7171,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
7172,3,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,well payed
7173,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
7174,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
7175,3,11 - 20 years,8 - 10 years,College degree,Woman,Law,very well payed
7178,0,21 - 30 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
7179,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
7182,0,2 - 4 years,1 year or less,High School,Prefer not to answer,Industry,bad payed
7183,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
7185,1,11 - 20 years,5-7 years,College degree,Man,Industry,very well payed
7186,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
7188,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
7189,0,21 - 30 years,8 - 10 years,College degree,Woman,Education,bad payed
7190,0,11 - 20 years,8 - 10 years,High School,Woman,Banking & Insurance,very well payed
7191,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
7192,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
7193,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
7194,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
7195,0,11 - 20 years,5-7 years,Master's degree,Woman,Industry,well payed
7196,2,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
7197,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed
7199,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
7200,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
7202,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
7203,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
7204,0,11 - 20 years,2 - 4 years,Some college,Woman,Non profit Organization,well payed
7205,1,8 - 10 years,5-7 years,College degree,Non-binary,Public & Government,well payed
7207,2,21 - 30 years,1 year or less,College degree,Woman,Public & Government,bad payed
7208,3,21 - 30 years,11 - 20 years,College degree,Woman,Industry,bad payed
7209,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
7210,3,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,well payed
7211,3,1 year or less,1 year or less,College degree,Woman,Non profit Organization,bad payed
7212,0,11 - 20 years,11 - 20 years,Some college,Woman,Advertising,bad payed
7213,3,21 - 30 years,5-7 years,College degree,Woman,Law,bad payed
7214,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,well payed
7215,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
7216,2,21 - 30 years,8 - 10 years,Some college,Woman,Public & Government,well payed
7217,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
7218,0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
7219,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed
7220,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
7221,0,31 - 40 years,31 - 40 years,College degree,Woman,Education,bad payed
7222,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed
7223,1,1 year or less,1 year or less,PhD,Man,Health,well payed
7224,3,21 - 30 years,5-7 years,College degree,Woman,Technology & Science,well payed
7225,0,21 - 30 years,21 - 30 years,Master's degree,Man,Education,well payed
7226,2,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,very well payed
7227,0,5-7 years,5-7 years,Master's degree,Woman,Health,well payed
7228,0,21 - 30 years,5-7 years,Some college,Woman,Banking & Insurance,well payed
7229,0,2 - 4 years,2 - 4 years,PhD,Woman,Industry,well payed
7230,3,5-7 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
7231,3,8 - 10 years,5-7 years,College degree,Woman,Culture,well payed
7232,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
7233,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
7234,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,bad payed
7235,1,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Banking & Insurance,very well payed
7236,2,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,bad payed
7237,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed
7238,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
7239,2,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed
7240,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
7241,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
7242,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
7243,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
7244,1,8 - 10 years,8 - 10 years,College degree,Man,Unidentified,very well payed
7245,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
7246,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
7247,3,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
7248,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
7249,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed
7251,0,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed
7253,2,11 - 20 years,5-7 years,College degree,Woman,Public & Government,bad payed
7254,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed
7255,3,8 - 10 years,2 - 4 years,College degree,Woman,Law,bad payed
7256,3,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
7257,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
7258,3,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed
7259,1,11 - 20 years,2 - 4 years,College degree,Man,Non profit Organization,well payed
7260,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
7261,0,5-7 years,5-7 years,Master's degree,Woman,Law,bad payed
7262,0,8 - 10 years,1 year or less,Master's degree,Woman,Other,well payed
7263,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
7264,1,11 - 20 years,11 - 20 years,College degree,Man,Advertising,well payed
7265,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
7267,3,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
7268,3,11 - 20 years,8 - 10 years,College degree,Woman,Health,bad payed
7269,0,11 - 20 years,8 - 10 years,PhD,Woman,Industry,very well payed
7270,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
7272,0,5-7 years,2 - 4 years,Master's degree,Woman,Law,well payed
