,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
6384,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed,95000.0,1.5286681599340903
6386,2,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Consulting,well payed,125000.0,2.0114054735974873
6388,1,35-44,11 - 20 years,11 - 20 years,College degree,Prefer not to answer,Education,well payed,51350.0,1.2233180865256337
6389,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed,92000.0,1.4803944285677506
6391,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Law,well payed,70000.0,1.1263870652145929
6392,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,40000.0,0.643649751551196
6393,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,137000.0,2.2045003990628462
6394,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Unidentified,well payed,144900.0,3.7774510417318403
6395,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Health,well payed,88000.0,1.416029453412631
6396,0,25-34,11 - 20 years,5-7 years,Master's degree,Man,Industry,well payed,100500.0,1.6171700007723797
6397,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Law,bad payed,52000.0,0.8367446770165546
6398,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,55000.0,0.8850184083828944
6399,3,35-44,5-7 years,5-7 years,PhD,Woman,Education,well payed,105000.0,1.6895805978218892
6401,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,well payed,63000.0,1.0137483586931335
6402,4,45-54,21 - 30 years,2 - 4 years,Some college,Woman,Technology & Science,bad payed,60000.0,0.9654746273267939
6403,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,72000.0,1.1585695527921527
6404,0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Unidentified,well payed,172000.0,2.7676939316701423
6405,2,45-54,8 - 10 years,2 - 4 years,Some college,Woman,Industry,bad payed,37400.0,0.6018125177003681
6406,3,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed,66000.0,1.0620220900594732
6407,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Other,well payed,80000.0,1.287299503102392
6408,0,25-34,1 year or less,1 year or less,PhD,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
6409,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,91000.0,1.4643031847789707
6411,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,45000.0,0.7241059704950954
6412,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,185000.0,2.976880100924281
6413,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,67000.0,1.0781133338482531
6414,1,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,150000.0,2.413686568316985
6415,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,46040.0,0.7408408640354265
6417,1,35-44,8 - 10 years,5-7 years,PhD,Woman,Health,well payed,40320.0,1.0511168116123382
6418,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Health,bad payed,41350.0,0.6653729306660487
6419,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,well payed,125000.0,2.0114054735974873
6420,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,49500.0,0.796516567544605
6421,1,35-44,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,well payed,132300.0,3.4489770381029845
6422,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,100800.0,2.6277920290308456
6423,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,bad payed,53000.0,0.8528359208053345
6424,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed,41600.0,0.6693957416132438
6425,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,110000.0,1.7700368167657887
6426,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,110000.0,1.7700368167657887
6427,0,45-54,21 - 30 years,21 - 30 years,High School,Woman,Other,well payed,57960.0,1.510980416692736
6428,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed,47000.0,0.7562884580726552
6429,2,25-34,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,103000.0,1.6573981102443296
6430,3,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,113000.0,1.8183105481321284
6433,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
6434,0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Culture,well payed,60040.0,1.4303411473222793
6435,2,25-34,8 - 10 years,1 year or less,College degree,Woman,Education,well payed,47400.0,1.1292166952544311
6436,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
6437,2,25-34,8 - 10 years,5-7 years,College degree,Woman,Health,bad payed,57000.0,0.9172008959604542
6439,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed,100440.0,1.616204526145053
6440,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed,46000.0,0.7401972142838753
6442,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,54000.0,0.8689271645941145
6443,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed,53600.0,0.8624906670786026
6445,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,144000.0,2.3171391055843054
6446,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Advertising,well payed,122000.0,1.9631317422311476
6449,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,71760.0,1.1547076542828454
6450,3,35-44,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed,55600.0,0.8946731546561624
6451,4,25-34,8 - 10 years,2 - 4 years,College degree,Non-binary,Technology & Science,well payed,70000.0,1.1263870652145929
6452,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed,91000.0,1.4643031847789707
6453,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed,80000.0,1.287299503102392
6454,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,103736.0,1.6692412656728715
6455,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,89000.0,1.4321206972014109
6456,0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
6457,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed,83200.0,1.3387914832264876
6458,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,50000.0,0.8045621894389949
6459,0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,140000.0,2.2527741304291857
6460,0,45-54,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,well payed,144000.0,2.3171391055843054
6461,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,78000.0,1.2551170155248321
6462,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,90000.0,1.4482119409901908
6463,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,50000.0,0.8045621894389949
6464,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,60000.0,0.9654746273267939
6465,2,25-34,5-7 years,5-7 years,Some college,Woman,Health,bad payed,35360.0,0.5689863803712571
6466,3,55-64,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,125500.0,2.019451095491877
6467,0,18-24,8 - 10 years,8 - 10 years,College degree,Woman,Culture,bad payed,27000.0,0.4344635822970572
6468,1,45-54,21 - 30 years,11 - 20 years,High School,Woman,Public & Government,well payed,68262.32,1.626222603392415
6469,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,105000.0,1.6895805978218892
6470,1,35-44,11 - 20 years,1 year or less,College degree,Man,Banking & Insurance,bad payed,40000.0,0.643649751551196
6471,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,89000.0,1.4321206972014109
6472,2,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,63000.0,1.6423700181442784
6474,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,bad payed,55120.0,0.886949357637548
6476,0,35-44,11 - 20 years,5-7 years,PhD,Woman,Technology & Science,well payed,95000.0,1.5286681599340903
6477,2,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Health,bad payed,56000.0,0.9011096521716743
6478,0,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed,64780.0,1.5432628168477225
6479,1,55-64,31 - 40 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,111000.0,1.7861280605545686
6480,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,65000.0,1.0459308462706933
6481,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,84000.0,1.3516644782575113
6482,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,115920.0,3.021960833385472
6483,5,25-34,5-7 years,5-7 years,College degree,Woman,Law,bad payed,57800.0,0.9300738909914781
6484,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,142000.0,2.2849566180067455
6485,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed,72000.0,1.1585695527921527
6486,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Other,well payed,86000.0,1.3838469658350712
6487,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
6489,4,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed,59250.0,1.411520869068039
6490,2,25-34,5-7 years,2 - 4 years,Some college,Woman,Non profit Organization,bad payed,52000.0,0.8367446770165546
6491,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,73500.0,1.1827064184753224
6492,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Other,well payed,90000.0,1.4482119409901908
6493,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Industry,bad payed,61152.0,0.9840117401714683
6495,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,84670.0,1.362445611595994
6496,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,41600.0,0.6693957416132438
6497,3,35-44,8 - 10 years,5-7 years,Master's degree,Non-binary,Consulting,well payed,80000.0,1.287299503102392
6498,4,35-44,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed,110000.0,1.7700368167657887
6499,2,25-34,2 - 4 years,2 - 4 years,College degree,Man,Public & Government,bad payed,50500.0,0.8126078113333849
6500,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,91000.0,1.4643031847789707
6501,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Industry,well payed,82000.0,1.3194819906799515
6502,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed,70000.0,1.1263870652145929
6503,4,25-34,2 - 4 years,2 - 4 years,PhD,Non-binary,Technology & Science,well payed,170000.0,2.7355114440925825
6504,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed,80640.0,2.1022336232246763
6505,0,55-64,41 years or more,8 - 10 years,College degree,Woman,Other,well payed,107250.0,1.7257858963466441
6506,5,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,136000.0,2.188409155274066
6507,2,25-34,2 - 4 years,2 - 4 years,College degree,Non-binary,Consulting,bad payed,55000.0,0.8850184083828944
6508,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,42500.0,0.6838778610231456
6509,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,68465.35,1.6310594149037547
6510,1,45-54,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,46000.0,0.7401972142838753
6511,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed,130000.0,2.0918616925413867
6512,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Advertising,well payed,70000.0,1.1263870652145929
6513,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,42000.0,0.6758322391287557
6514,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Industry,well payed,83200.0,1.3387914832264876
6515,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed,26000.0,0.4183723385082773
6516,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed,100000.0,1.6091243788779899
6517,5,45-54,21 - 30 years,5-7 years,Some college,Woman,Public & Government,bad payed,32130.0,0.837608709253582
6518,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,93000.0,1.4964856723565305
6519,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,101000.0,1.6252156226667698
6520,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,80000.0,1.287299503102392
6521,5,25-34,5-7 years,5-7 years,PhD,Woman,Industry,well payed,76987.8,1.2687424604979531
6522,0,45-54,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,117000.0,1.882675523287248
6523,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,92000.0,1.4803944285677506
6524,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Other,bad payed,60500.0,0.9735202492211839
6525,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,70000.0,1.1263870652145929
6526,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,152350.0,2.4515009912206174
6527,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,65000.0,1.0459308462706933
6528,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Health,bad payed,52000.0,0.8367446770165546
6530,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,87000.0,1.399938209623851
6532,2,25-34,2 - 4 years,2 - 4 years,College degree,Non-binary,Education,well payed,45030.0,1.0727558604917096
6533,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed,80000.0,1.287299503102392
6536,3,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,150000.0,2.413686568316985
6538,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Other,bad payed,37500.0,0.6034216420792462
6539,4,25-34,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed,100000.0,1.6091243788779899
6540,5,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,48980.0,1.166857251762912
6541,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,134000.0,2.1562266676965063
6542,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,125000.0,2.0114054735974873
6544,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,43000.0,0.6919234829175356
6546,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,78000.0,1.2551170155248321
6547,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed,74000.0,1.1907520403697125
6548,2,18-24,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,31500.0,0.5068741793465668
6549,0,45-54,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,well payed,142000.0,2.2849566180067455
6550,1,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,82500.0,1.3275276125743416
6551,2,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Health,well payed,75705.0,1.2181876110295822
6552,0,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
6553,1,35-44,21 - 30 years,11 - 20 years,College degree,Man,Industry,well payed,95000.0,1.5286681599340903
6554,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,80640.0,2.1022336232246763
6555,3,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,110000.0,1.7700368167657887
6556,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,128000.0,2.059679204963827
6557,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed,76500.0,1.2309801498416622
6558,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,90000.0,1.4482119409901908
6559,1,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,74500.0,1.1987976622641023
6560,3,35-44,8 - 10 years,8 - 10 years,PhD,Woman,Education,well payed,63500.0,1.0217939805875236
6562,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Consulting,well payed,80000.0,1.287299503102392
6563,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Non-binary,Education,well payed,75000.0,1.2068432841584924
6564,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,60000.0,0.9654746273267939
6567,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,bad payed,56280.0,0.9056152004325326
6568,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed,48000.0,0.7723797018614351
