,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
7596,25-34,1.0620220900594732,66000.0,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,66000.0
7597,25-34,2.6348389555936724,140000.0,11 - 20 years,11 - 20 years,College degree,Man,Industry,110600.0
7598,35-44,1.4803944285677506,92000.0,11 - 20 years,11 - 20 years,PhD,Woman,Education,92000.0
7599,25-34,0.5688131313131313,20400.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,21624.0
7600,45-54,2.0918616925413867,130000.0,31 - 40 years,8 - 10 years,College degree,Woman,Banking & Insurance,130000.0
7601,25-34,1.3838469658350712,86000.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,86000.0
7602,25-34,0.8769727864885044,54500.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,54500.0
7603,18-24,0.5020468062099328,31200.0,1 year or less,2 - 4 years,College degree,Woman,Education,31200.0
7604,35-44,1.882027825424052,100000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,79000.0
7605,25-34,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,College degree,Non-binary,Unidentified,65000.0
7606,35-44,1.2229345279472723,76000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,76000.0
7608,35-44,1.6858635205066812,104769.0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,104769.0
7609,45-54,1.737854329188229,108000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,108000.0
7610,35-44,1.8022193043433485,112000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Consulting,112000.0
7611,35-44,0.9011096521716743,56000.0,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,56000.0
7612,25-34,1.456876456876457,15000.0,8 - 10 years,5-7 years,PhD,Woman,Other,15000.0
7613,35-44,1.7080648188700496,52000.0,11 - 20 years,11 - 20 years,College degree,Woman,Law,65520.0
7614,35-44,2.655055225148683,165000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,165000.0
7615,35-44,1.287299503102392,80000.0,11 - 20 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,80000.0
7616,45-54,1.5141860405241885,94100.0,21 - 30 years,21 - 30 years,College degree,Woman,Law,94100.0
7617,25-34,0.941013912712026,50000.0,5-7 years,2 - 4 years,College degree,Woman,Education,39500.0
7618,25-34,1.994949494949495,106000.0,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,83740.0
7619,25-34,1.1292166952544311,60000.0,2 - 4 years,1 year or less,PhD,Woman,Non profit Organization,47400.0
7620,25-34,0.7241059704950954,45000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,45000.0
7621,25-34,0.9011096521716743,56000.0,2 - 4 years,5-7 years,College degree,Woman,Other,56000.0
7623,35-44,2.2527741304291857,140000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,140000.0
7624,35-44,1.0781133338482531,67000.0,11 - 20 years,11 - 20 years,Some college,Woman,Health,67000.0
7625,35-44,1.094204577637033,68000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,68000.0
7626,65 or over,1.9631317422311476,122000.0,41 years or more,41 years or more,College degree,Woman,Technology & Science,122000.0
7627,25-34,1.2233180865256337,65000.0,5-7 years,2 - 4 years,Master's degree,Woman,Health,51350.0
7628,35-44,1.0781133338482531,67000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,67000.0
7629,25-34,1.0375633995005278,64480.0,8 - 10 years,5-7 years,College degree,Non-binary,Non profit Organization,64480.0
7631,35-44,1.0057027367987437,62500.0,8 - 10 years,2 - 4 years,PhD,Woman,Education,62500.0
7632,35-44,1.705671841610669,106000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,106000.0
7633,45-54,1.3300217553616025,82655.0,11 - 20 years,5-7 years,College degree,Prefer not to answer,Public & Government,82655.0
7634,55-64,1.287299503102392,80000.0,31 - 40 years,21 - 30 years,Some college,Woman,Technology & Science,80000.0
7635,45-54,1.0781133338482531,67000.0,11 - 20 years,11 - 20 years,PhD,Woman,Consulting,67000.0
7636,25-34,0.7363353157745681,45760.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,45760.0
7637,25-34,1.1746607965809326,73000.0,8 - 10 years,5-7 years,College degree,Woman,Education,73000.0
7638,25-34,1.0620220900594732,66000.0,5-7 years,5-7 years,College degree,Woman,Culture,66000.0
7639,35-44,2.0918616925413867,130000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,130000.0
7640,25-34,1.0455656009510104,31831.0,8 - 10 years,2 - 4 years,College degree,Man,Education,40107.06
7641,35-44,1.4034782832573827,87220.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,87220.0
7643,25-34,1.1585695527921527,72000.0,8 - 10 years,8 - 10 years,Some college,Woman,Industry,72000.0
7644,45-54,0.6629592440977318,41200.0,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,41200.0
7645,25-34,0.6597409953399758,41000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,41000.0
7646,35-44,1.6573981102443296,103000.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,103000.0
7647,25-34,1.6413068664555497,102000.0,8 - 10 years,8 - 10 years,College degree,Woman,Industry,102000.0
7650,35-44,1.6091243788779899,100000.0,11 - 20 years,5-7 years,Master's degree,Woman,Advertising,100000.0
7651,45-54,1.9309492546535878,120000.0,21 - 30 years,21 - 30 years,College degree,Man,Health,120000.0
7652,25-34,0.8938685924667233,55550.0,5-7 years,5-7 years,Master's degree,Woman,Other,55550.0
7653,45-54,0.8367446770165546,52000.0,21 - 30 years,11 - 20 years,Some college,Woman,Banking & Insurance,52000.0
7654,35-44,1.411520869068039,75000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,59250.0
7655,25-34,1.0217939805875236,63500.0,11 - 20 years,5-7 years,College degree,Woman,Education,63500.0
7656,25-34,2.526325274838444,157000.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,157000.0
7657,25-34,1.1263870652145929,70000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,70000.0
7658,25-34,0.9654746273267939,60000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,60000.0
7659,25-34,2.188409155274066,136000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,136000.0
7660,35-44,0.9011096521716743,56000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Education,56000.0
7661,25-34,1.5125769161453104,94000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,94000.0
7662,35-44,0.9654746273267939,60000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,60000.0
7663,35-44,0.9654746273267939,60000.0,11 - 20 years,2 - 4 years,Master's degree,Prefer not to answer,Education,60000.0
7664,35-44,2.0114054735974873,125000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,125000.0
7665,35-44,2.188409155274066,136000.0,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,136000.0
7666,35-44,1.5164002377526122,46165.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,58167.9
7667,35-44,1.1263870652145929,70000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,70000.0
7668,25-34,0.9099598362555033,56550.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,56550.0
7669,35-44,2.0918616925413867,130000.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Industry,130000.0
7670,55-64,0.6758322391287557,42000.0,21 - 30 years,2 - 4 years,PhD,Woman,Culture,42000.0
7671,55-64,1.3138960145154228,40000.0,21 - 30 years,5-7 years,Master's degree,Woman,Education,50400.0
7672,25-34,1.0727558604917096,57000.0,8 - 10 years,5-7 years,College degree,Woman,Education,45030.0
7673,25-34,2.0918616925413867,130000.0,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,130000.0
7674,35-44,2.333230349373085,145000.0,11 - 20 years,5-7 years,PhD,Man,Technology & Science,145000.0
7675,35-44,1.3918925877294612,86500.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,86500.0
7676,35-44,1.1585695527921527,72000.0,11 - 20 years,8 - 10 years,PhD,Woman,Education,72000.0
7677,45-54,1.4482119409901908,90000.0,21 - 30 years,11 - 20 years,Some college,Woman,Law,90000.0
7678,35-44,1.0459308462706933,65000.0,11 - 20 years,5-7 years,Master's degree,Woman,Law,65000.0
7679,35-44,1.6895805978218892,105000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,105000.0
7680,25-34,0.5631935326072964,35000.0,2 - 4 years,1 year or less,Master's degree,Woman,Other,35000.0
7681,45-54,1.2068432841584924,75000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,75000.0
7682,25-34,1.7700368167657887,110000.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,110000.0
7683,35-44,1.0137483586931335,63000.0,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,63000.0
7684,25-34,0.5471022888185165,34000.0,5-7 years,5-7 years,College degree,Woman,Education,34000.0
7685,35-44,1.287299503102392,80000.0,11 - 20 years,5-7 years,PhD,Woman,Technology & Science,80000.0
7686,25-34,0.7694350042480884,47817.0,2 - 4 years,2 - 4 years,College degree,Woman,Education,47817.0
7687,25-34,0.9815658711155738,61000.0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,61000.0
7688,25-34,1.4482119409901908,90000.0,5-7 years,2 - 4 years,Master's degree,Woman,Health,90000.0
7689,18-24,0.4779421230143405,29702.0,2 - 4 years,1 year or less,College degree,Woman,Public & Government,29702.0
7690,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,110000.0
7691,45-54,1.4964856723565305,93000.0,21 - 30 years,2 - 4 years,Some college,Man,Industry,93000.0
7692,25-34,1.6895805978218892,105000.0,5-7 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,105000.0
7693,35-44,1.3181303262016941,81916.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,81916.0
7694,25-34,1.3677557220462913,85000.0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,85000.0
7695,35-44,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,160000.0
7696,25-34,1.287299503102392,80000.0,5-7 years,5-7 years,Master's degree,Woman,Industry,80000.0
7697,25-34,1.1263870652145929,70000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,70000.0
7698,35-44,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,100000.0
7699,45-54,0.7241059704950954,45000.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,45000.0
7700,35-44,1.1714425478231765,72800.0,21 - 30 years,11 - 20 years,Some college,Woman,Other,72800.0
7702,35-44,0.6758322391287557,42000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,42000.0
7703,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,College degree,Woman,Health,75000.0
7704,25-34,1.6685010684585877,103690.0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,103690.0
7705,18-24,1.0620220900594732,66000.0,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,66000.0
7706,35-44,0.6249034525372673,38835.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,38835.0
7707,25-34,0.8868798097979104,27000.0,5-7 years,5-7 years,Master's degree,Woman,Other,34020.0
7708,35-44,1.4964856723565305,93000.0,11 - 20 years,2 - 4 years,High School,Woman,Health,93000.0
7709,35-44,1.3677557220462913,85000.0,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Unidentified,85000.0
7710,35-44,0.8528359208053345,53000.0,11 - 20 years,2 - 4 years,PhD,Woman,Education,53000.0
7711,35-44,1.882675523287248,117000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,117000.0
7712,18-24,1.0298396024819134,64000.0,1 year or less,1 year or less,College degree,Non-binary,Technology & Science,64000.0
7713,25-34,1.6413068664555497,102000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,102000.0
7714,35-44,1.1168116123381093,34000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,42840.0
7715,25-34,0.6758322391287557,42000.0,8 - 10 years,8 - 10 years,College degree,Woman,Health,42000.0
7716,35-44,1.4964856723565305,93000.0,21 - 30 years,5-7 years,PhD,Woman,Non profit Organization,93000.0
7717,25-34,1.0459308462706933,65000.0,5-7 years,5-7 years,College degree,Woman,Law,65000.0
7718,35-44,2.638963981359903,164000.0,11 - 20 years,11 - 20 years,College degree,Man,Education,164000.0
7719,25-34,1.1746607965809326,73000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,73000.0
7720,25-34,0.9654746273267939,60000.0,5-7 years,5-7 years,Master's degree,Non-binary,Education,60000.0
7721,25-34,1.3380512860122036,83154.0,5-7 years,5-7 years,College degree,Woman,Industry,83154.0
7723,35-44,0.8220694626811874,51088.0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,51088.0
7724,35-44,1.1263870652145929,70000.0,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,70000.0
7725,25-34,1.2551170155248321,78000.0,5-7 years,5-7 years,PhD,Woman,Technology & Science,78000.0
7726,25-34,1.6895805978218892,105000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,105000.0
7727,35-44,1.1825064130638805,36000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,45360.0
7728,45-54,2.655055225148683,165000.0,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,165000.0
7729,35-44,2.8159676630364823,175000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,175000.0
7730,35-44,1.4482119409901908,90000.0,11 - 20 years,5-7 years,College degree,Woman,Public & Government,90000.0
7731,25-34,2.2527741304291857,140000.0,5-7 years,5-7 years,College degree,Woman,Advertising,140000.0
7732,25-34,2.799876419247702,174000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,174000.0
7733,45-54,1.0459308462706933,65000.0,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,65000.0
7734,25-34,1.0459308462706933,65000.0,5-7 years,5-7 years,College degree,Woman,Industry,65000.0
7735,35-44,1.3516644782575113,84000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,84000.0
7736,35-44,2.175536160243042,135200.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,135200.0
7737,35-44,0.9654746273267939,60000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,60000.0
7738,35-44,1.0178006479893271,54080.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,42723.2
7739,35-44,0.505393784917999,31408.0,5-7 years,2 - 4 years,College degree,Woman,Education,31408.0
7740,55-64,0.5631935326072964,35000.0,21 - 30 years,11 - 20 years,College degree,Woman,Culture,35000.0
7741,25-34,1.0182694112494526,31000.0,11 - 20 years,8 - 10 years,Some college,Woman,Advertising,39060.0
7742,45-54,1.6895805978218892,105000.0,11 - 20 years,5-7 years,PhD,Man,Technology & Science,105000.0
7743,45-54,0.7241059704950954,45000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,45000.0
7744,25-34,0.7723797018614351,48000.0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,48000.0
7745,25-34,1.0781133338482531,67000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,67000.0
7746,45-54,0.949383383538014,59000.0,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,59000.0
7748,25-34,1.57694189130043,98000.0,11 - 20 years,8 - 10 years,College degree,Woman,Industry,98000.0
7749,25-34,0.7401972142838753,46000.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,46000.0
7750,25-34,1.1424783090033728,71000.0,11 - 20 years,8 - 10 years,College degree,Woman,Industry,71000.0
7751,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,PhD,Woman,Education,75000.0
7752,25-34,1.3677557220462913,85000.0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,85000.0
7753,25-34,1.3194819906799515,82000.0,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,82000.0
7754,55-64,1.2068432841584924,75000.0,21 - 30 years,11 - 20 years,Some college,Woman,Public & Government,75000.0
7755,35-44,1.204497808271393,64000.0,8 - 10 years,5-7 years,Some college,Woman,Banking & Insurance,50560.0
7756,25-34,1.2985991995425958,69000.0,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,54510.0
7757,35-44,2.107871164474938,112000.0,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,88480.0
7759,35-44,0.5187816997502639,32240.0,21 - 30 years,1 year or less,Some college,Man,Industry,32240.0
7760,45-54,0.9065882500156417,27600.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,34776.0
7761,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,College degree,Woman,Health,110000.0
7763,25-34,2.2688653742179654,141000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,141000.0
7764,55-64,0.8534795705568858,53040.0,31 - 40 years,31 - 40 years,College degree,Woman,Public & Government,53040.0
7765,25-34,1.0057027367987437,62500.0,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,62500.0
7766,45-54,0.8154237789964214,50675.0,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,50675.0
7767,25-34,0.9332921397492341,58000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,58000.0
7768,35-44,1.1845483133218984,62940.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,49722.600000000006
7769,25-34,1.0298396024819134,64000.0,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,64000.0
7770,25-34,1.1601786771710307,72100.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,72100.0
7771,45-54,1.1825064130638805,36000.0,31 - 40 years,21 - 30 years,High School,Woman,Public & Government,45360.0
7773,45-54,1.110295821425813,69000.0,11 - 20 years,5-7 years,Master's degree,Woman,Health,69000.0
7774,35-44,2.2527741304291857,140000.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,140000.0
