,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
2577,0,2.264906463117062,11 - 20 years,5-7 years,College degree,Banking & Insurance,79380.0
2578,2,1.6252156226667698,5-7 years,2 - 4 years,College degree,Industry,95000.0
2579,1,1.6573981102443296,21 - 30 years,11 - 20 years,Master's degree,Unidentified,103000.0
2580,3,1.0459308462706933,2 - 4 years,2 - 4 years,College degree,Advertising,62000.0
2581,0,0.0,11 - 20 years,8 - 10 years,Master's degree,Education,42400.0
2582,0,1.3355732344687314,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,75000.0
2583,3,1.7072809659895472,11 - 20 years,2 - 4 years,Master's degree,Public & Government,103600.0
2584,2,1.2229345279472723,5-7 years,2 - 4 years,College degree,Advertising,69000.0
2585,4,0.9976571149043537,21 - 30 years,8 - 10 years,Master's degree,Education,62000.0
2586,0,1.5443571226281507,21 - 30 years,11 - 20 years,College degree,Industry,85200.0
2587,2,0.7723797018614351,5-7 years,5-7 years,PhD,Other,48000.0
2588,2,1.7879264341528494,31 - 40 years,11 - 20 years,College degree,Education,75050.0
2589,1,1.6252156226667698,11 - 20 years,2 - 4 years,Master's degree,Health,96000.0
2590,2,1.2688245434419272,5-7 years,5-7 years,Master's degree,Technology & Science,53000.0
2591,0,3.0573363198681807,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,175000.0
2592,0,1.6252156226667698,8 - 10 years,8 - 10 years,PhD,Banking & Insurance,96000.0
2593,3,0.637213254035684,2 - 4 years,2 - 4 years,College degree,Agriculture & Food,39600.0
2594,0,0.5511250997657116,31 - 40 years,1 year or less,Some college,Construction,34000.0
2595,2,1.1856775300171527,8 - 10 years,5-7 years,Unknown,Non profit Organization,49770.0
2596,1,2.516670528565176,11 - 20 years,11 - 20 years,Master's degree,Consulting,116400.0
2597,0,2.413686568316985,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,130000.0
2598,3,1.9309492546535878,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,120000.0
2599,0,1.3033907468911716,11 - 20 years,8 - 10 years,College degree,Consulting,77000.0
2600,0,1.1263870652145929,5-7 years,2 - 4 years,Master's degree,Technology & Science,67000.0
2601,2,0.6236966092531089,5-7 years,5-7 years,Master's degree,Non profit Organization,38760.0
2602,0,1.149659012700995,8 - 10 years,8 - 10 years,PhD,Education,44100.0
2603,1,0.6114672639736362,31 - 40 years,31 - 40 years,Master's degree,Education,38000.0
2604,1,3.940745603872197,21 - 30 years,11 - 20 years,Master's degree,Health,199900.0
2605,0,1.0897453544390916,11 - 20 years,2 - 4 years,College degree,Public & Government,41801.76
2606,0,2.480626142478309,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,149160.0
2607,1,2.976880100924281,11 - 20 years,11 - 20 years,High School,Banking & Insurance,125000.0
2608,1,2.960788857135501,11 - 20 years,11 - 20 years,Master's degree,Human Ressources,160000.0
2609,1,2.6277920290308456,11 - 20 years,11 - 20 years,Master's degree,Energy,100800.0
2610,2,2.059679204963827,31 - 40 years,31 - 40 years,PhD,Education,118000.0
2611,0,1.3053216961458254,8 - 10 years,8 - 10 years,College degree,Health,81120.0
2612,1,1.0137483586931335,11 - 20 years,11 - 20 years,High School,Health,63000.0
2613,2,1.110295821425813,5-7 years,1 year or less,PhD,Education,69000.0
2614,1,0.8206534332277748,21 - 30 years,11 - 20 years,Master's degree,Education,47000.0
2615,1,0.8930640302772843,21 - 30 years,11 - 20 years,Some college,Unidentified,53000.0
2616,2,2.494142787260884,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,150000.0
2617,0,0.7241059704950954,11 - 20 years,11 - 20 years,College degree,Technology & Science,45000.0
2618,3,1.3194819906799515,8 - 10 years,2 - 4 years,Master's degree,Human Ressources,72000.0
2619,3,1.271208259313612,5-7 years,2 - 4 years,Master's degree,Consulting,79000.0
2620,2,0.790080070029093,11 - 20 years,5-7 years,College degree,Education,49100.0
2621,0,0.7530702093148992,11 - 20 years,8 - 10 years,Master's degree,Other,46800.0
2622,2,2.335290028578049,8 - 10 years,5-7 years,PhD,Public & Government,144128.0
2623,0,0.4215905872660333,11 - 20 years,5-7 years,High School,Non profit Organization,26000.0
2624,1,0.9011096521716743,2 - 4 years,11 - 20 years,Master's degree,Culture,56000.0
2625,1,1.3677557220462913,11 - 20 years,11 - 20 years,Master's degree,Health,85000.0
2626,2,1.7562948945701706,5-7 years,5-7 years,Master's degree,Law,107146.0
2627,1,0.7996543600834171,11 - 20 years,11 - 20 years,Some college,Industry,47195.0
2628,0,1.400903684251178,31 - 40 years,8 - 10 years,College degree,Consulting,87060.0
2629,1,2.574599006204784,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,130000.0
2630,0,3.2182487577559797,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,200000.0
2631,0,0.45055482608583713,8 - 10 years,8 - 10 years,College degree,Culture,28000.0
2632,0,3.3559653135124834,21 - 30 years,21 - 30 years,College degree,Technology & Science,120870.0
2633,3,0.8045621894389949,11 - 20 years,8 - 10 years,Master's degree,Education,50000.0
2634,2,0.6838778610231456,5-7 years,5-7 years,Master's degree,Education,42500.0
2635,0,1.2006964290311783,11 - 20 years,5-7 years,College degree,Technology & Science,74618.0
2636,0,1.4803944285677506,11 - 20 years,8 - 10 years,PhD,Education,92000.0
2637,1,0.6195128858680261,8 - 10 years,8 - 10 years,Master's degree,Health,38500.0
2638,0,1.1424783090033728,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,63000.0
2639,0,1.9309492546535878,8 - 10 years,8 - 10 years,College degree,Unidentified,100000.0
2640,2,1.3355732344687314,5-7 years,5-7 years,College degree,Public & Government,80000.0
2641,1,1.3355732344687314,8 - 10 years,5-7 years,Master's degree,Non profit Organization,71000.0
2642,1,2.8964238819803816,31 - 40 years,21 - 30 years,Master's degree,Non profit Organization,180000.0
2643,1,2.0033598517030975,11 - 20 years,1 year or less,Master's degree,Health,117000.0
2644,3,1.1746607965809326,21 - 30 years,2 - 4 years,Master's degree,Industry,73000.0
2645,0,1.5447594037228702,11 - 20 years,8 - 10 years,College degree,Technology & Science,96000.0
2646,0,0.7804253237558251,11 - 20 years,11 - 20 years,College degree,Public & Government,48500.0
2647,4,2.574599006204784,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,80000.0
2648,2,0.9226719188486393,5-7 years,2 - 4 years,College degree,Industry,57340.0
2649,2,1.7700368167657887,5-7 years,5-7 years,Master's degree,Banking & Insurance,100000.0
2650,0,1.57694189130043,11 - 20 years,11 - 20 years,College degree,Non profit Organization,98000.0
2651,1,1.1746607965809326,31 - 40 years,11 - 20 years,Master's degree,Health,68000.0
2652,3,0.6114672639736362,2 - 4 years,2 - 4 years,Master's degree,Unidentified,36000.0
2653,0,0.7562884580726552,11 - 20 years,11 - 20 years,College degree,Unidentified,46000.0
2654,0,0.6827836564455086,11 - 20 years,8 - 10 years,College degree,Non profit Organization,42432.0
2655,0,1.1263870652145929,8 - 10 years,8 - 10 years,Master's degree,Culture,70000.0
2656,2,0.9286578615380655,5-7 years,5-7 years,College degree,Non profit Organization,57712.0
2657,1,2.083816070646997,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,114500.0
2658,1,1.2638384696583507,11 - 20 years,2 - 4 years,Master's degree,Industry,78542.0
2659,1,1.4482119409901908,11 - 20 years,11 - 20 years,Some college,Non profit Organization,90000.0
2660,0,1.3355732344687314,8 - 10 years,8 - 10 years,PhD,Education,83000.0
2661,0,2.2019725557461407,8 - 10 years,8 - 10 years,PhD,Education,92430.0
2662,3,1.7534255146092725,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,64260.0
2663,0,2.8964238819803816,11 - 20 years,11 - 20 years,College degree,Advertising,150000.0
2664,2,1.0137483586931335,11 - 20 years,5-7 years,PhD,Education,63000.0
2665,1,0.7080147267063155,21 - 30 years,11 - 20 years,Some college,Other,44000.0
2666,1,1.1666151746865425,11 - 20 years,5-7 years,Master's degree,Non profit Organization,71500.0
2667,2,0.9654746273267939,31 - 40 years,5-7 years,College degree,Public & Government,60000.0
2668,2,1.5045312942509204,5-7 years,5-7 years,Master's degree,Industry,92500.0
2669,1,1.5286681599340903,8 - 10 years,5-7 years,Master's degree,Health,95000.0
2670,0,1.9538879359634078,11 - 20 years,11 - 20 years,College degree,Energy,72016.40000000001
2671,3,0.8045621894389949,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,50000.0
2672,0,0.8805611338534024,11 - 20 years,2 - 4 years,College degree,Education,54723.0
2673,2,0.7511392600602457,5-7 years,2 - 4 years,College degree,Health,43680.0
2674,0,1.1263870652145929,8 - 10 years,5-7 years,Master's degree,Consulting,70000.0
2675,2,0.6919234829175356,8 - 10 years,5-7 years,College degree,Unidentified,43000.0
2676,1,1.3677557220462913,8 - 10 years,5-7 years,Master's degree,Construction,85000.0
2677,3,0.702865528693906,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,43680.0
2678,2,1.2487596195958206,21 - 30 years,11 - 20 years,College degree,Education,47901.42
2679,0,0.796516567544605,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,49000.0
2680,0,0.9435583532864756,31 - 40 years,21 - 30 years,High School,Non profit Organization,56238.0
2681,0,0.8206534332277748,11 - 20 years,11 - 20 years,College degree,Technology & Science,50000.0
2682,0,3.298704976699879,21 - 30 years,11 - 20 years,College degree,Other,90000.0
2683,0,0.7442235500218983,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Education,28547.82
2684,0,0.7339908519153803,11 - 20 years,8 - 10 years,College degree,Education,30810.0
2685,0,1.6091243788779899,11 - 20 years,11 - 20 years,College degree,Other,100000.0
2686,0,1.094204577637033,11 - 20 years,5-7 years,College degree,Other,68000.0
2687,0,1.3307458613320975,11 - 20 years,8 - 10 years,Master's degree,Public & Government,82700.0
2688,0,1.3174194777968362,11 - 20 years,11 - 20 years,College degree,Construction,55300.0
2689,0,1.3597101001519014,8 - 10 years,8 - 10 years,PhD,Public & Government,84500.0
2690,1,1.6734893540331093,31 - 40 years,31 - 40 years,Master's degree,Health,104000.0
2691,0,1.6252156226667698,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,98000.0
2692,1,0.7135018408382895,11 - 20 years,11 - 20 years,Master's degree,Culture,44341.0
2693,2,0.788470945650215,5-7 years,2 - 4 years,College degree,Education,49000.0
2694,0,2.7918307973533123,31 - 40 years,31 - 40 years,College degree,Public & Government,170500.0
2695,0,1.094204577637033,11 - 20 years,8 - 10 years,Master's degree,Advertising,66500.0
2696,2,2.2527741304291857,5-7 years,5-7 years,College degree,Industry,130000.0
2697,4,1.5031635385288742,21 - 30 years,21 - 30 years,Master's degree,Education,93415.0
2698,3,0.9820807909168148,21 - 30 years,21 - 30 years,Master's degree,Public & Government,61032.0
2699,1,1.4482119409901908,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,90000.0
2700,0,3.330887464277439,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,167000.0
2701,4,1.399938209623851,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,80000.0
2702,0,3.2504312453335396,11 - 20 years,8 - 10 years,College degree,Technology & Science,152000.0
2703,3,0.7068883396411009,5-7 years,2 - 4 years,Master's degree,Law,43680.0
2704,0,2.2881748667645017,11 - 20 years,11 - 20 years,College degree,Technology & Science,135200.0
2705,3,1.094204577637033,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,68000.0
2706,1,1.274426508071368,5-7 years,5-7 years,Master's degree,Health,72000.0
2707,0,0.8850184083828944,31 - 40 years,21 - 30 years,Some college,Retail,55000.0
2708,0,1.2309801498416622,11 - 20 years,2 - 4 years,Some college,Industry,66500.0
2709,0,1.0827476120594217,11 - 20 years,2 - 4 years,College degree,Human Ressources,57288.0
2710,3,1.5608506475116501,2 - 4 years,2 - 4 years,College degree,Industry,92000.0
2711,1,0.8206534332277748,11 - 20 years,11 - 20 years,Master's degree,Consulting,51000.0
2712,4,1.0539764681650834,8 - 10 years,8 - 10 years,Master's degree,Social,65500.0
2713,4,1.0781133338482531,8 - 10 years,8 - 10 years,Master's degree,Education,67000.0
2714,1,1.7942583732057418,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,95400.0
2715,3,0.7756784068381349,2 - 4 years,2 - 4 years,Master's degree,Education,48205.0
2716,0,0.6758322391287557,11 - 20 years,8 - 10 years,College degree,Health,39000.0
2717,2,1.082504327514651,5-7 years,2 - 4 years,College degree,Education,40824.0
2718,2,0.35400736335315774,2 - 4 years,2 - 4 years,College degree,Education,22000.0
2719,3,0.9929906542056075,2 - 4 years,5-7 years,Master's degree,Public & Government,61710.0
2720,0,3.4653780798640614,8 - 10 years,8 - 10 years,College degree,Technology & Science,215358.0
2721,0,1.1907520403697125,11 - 20 years,11 - 20 years,College degree,Culture,74000.0
2722,2,0.7598768054375531,5-7 years,2 - 4 years,College degree,Culture,42723.0
2723,3,1.3355732344687314,2 - 4 years,2 - 4 years,College degree,Human Ressources,81600.0
2724,1,1.9953142298087074,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,104000.0
2725,4,1.287299503102392,21 - 30 years,2 - 4 years,Some college,Health,80000.0
2726,0,1.1263870652145929,2 - 4 years,2 - 4 years,College degree,Industry,70000.0
2727,1,1.0548936690610438,21 - 30 years,11 - 20 years,Some college,Other,65557.0
2728,1,5.953760201848562,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,320000.0
2729,2,0.7723797018614351,2 - 4 years,1 year or less,College degree,Education,48000.0
2730,0,0.9629311987802553,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,37920.0
2731,1,1.5286681599340903,11 - 20 years,11 - 20 years,Master's degree,Other,95000.0
2732,0,1.2022148532816117,11 - 20 years,8 - 10 years,Unknown,Unidentified,46116.0
2733,0,1.6413068664555497,11 - 20 years,8 - 10 years,College degree,Culture,102000.0
2734,0,0.8926134754511985,11 - 20 years,5-7 years,College degree,Banking & Insurance,53955.0
2735,0,1.2068432841584924,11 - 20 years,11 - 20 years,College degree,Technology & Science,75000.0
2736,1,1.454670587499218,11 - 20 years,2 - 4 years,Master's degree,Other,50400.0
2737,2,1.247071393630442,5-7 years,2 - 4 years,College degree,Advertising,72500.0
2738,1,0.6404850390699447,11 - 20 years,11 - 20 years,College degree,Health,24885.0
2739,1,1.094204577637033,11 - 20 years,11 - 20 years,Master's degree,Education,68000.0
2740,1,1.0620220900594732,11 - 20 years,11 - 20 years,College degree,Law,65000.0
2741,0,1.1714425478231765,11 - 20 years,5-7 years,College degree,Banking & Insurance,67800.0
2742,0,1.7539455729770088,8 - 10 years,2 - 4 years,College degree,Technology & Science,98000.0
2743,1,1.3677557220462913,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,85000.0
2744,1,2.2527741304291857,31 - 40 years,21 - 30 years,Master's degree,Advertising,140000.0
2745,1,1.4171193062702496,11 - 20 years,11 - 20 years,College degree,Health,56485.0
2746,0,0.4183723385082773,2 - 4 years,1 year or less,College degree,Unidentified,26000.0
2747,3,1.0861589557426432,21 - 30 years,21 - 30 years,Master's degree,Public & Government,67000.0
2748,3,1.9050745346412297,8 - 10 years,5-7 years,Master's degree,Public & Government,118392.0
2749,0,3.481751477034496,11 - 20 years,11 - 20 years,College degree,Consulting,146150.0
2750,2,0.9654746273267939,8 - 10 years,5-7 years,Some college,Non profit Organization,60000.0
2751,0,1.1875337916119564,11 - 20 years,11 - 20 years,College degree,Culture,72000.0
2752,2,1.0217939805875236,5-7 years,5-7 years,College degree,Industry,62500.0
2753,2,1.3677557220462913,8 - 10 years,5-7 years,College degree,Consulting,85000.0
2754,1,0.8032748899358925,11 - 20 years,1 year or less,Master's degree,Health,49920.0
2755,2,1.1585695527921527,5-7 years,5-7 years,College degree,Advertising,72000.0
2756,2,0.7603112690198501,21 - 30 years,11 - 20 years,College degree,Education,47250.0
2757,2,1.3677557220462913,5-7 years,5-7 years,PhD,Education,70000.0
2758,1,1.737854329188229,21 - 30 years,11 - 20 years,College degree,Health,108000.0
2759,2,1.3838469658350712,5-7 years,5-7 years,PhD,Public & Government,86000.0
2760,2,1.1621739914008393,5-7 years,2 - 4 years,College degree,Unidentified,67224.0
2761,0,1.6091243788779899,11 - 20 years,5-7 years,College degree,Advertising,100000.0
2762,0,0.796516567544605,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,49000.0
2763,3,1.3602932700066863,8 - 10 years,2 - 4 years,Master's degree,Industry,40800.0
2764,0,1.3607077572668058,11 - 20 years,8 - 10 years,College degree,Industry,84562.0
2765,0,4.022810947194975,8 - 10 years,8 - 10 years,College degree,Unidentified,50000.0
2766,0,1.2947874976176863,11 - 20 years,8 - 10 years,Master's degree,Construction,51350.0
2767,1,2.043587961175047,11 - 20 years,11 - 20 years,Master's degree,Health,111000.0
2768,2,1.8183105481321284,5-7 years,5-7 years,College degree,Advertising,105000.0
2769,0,1.5286681599340903,8 - 10 years,8 - 10 years,College degree,Industry,95000.0
2770,1,1.4482119409901908,11 - 20 years,11 - 20 years,Master's degree,Education,90000.0
2771,0,3.9745372158286347,11 - 20 years,11 - 20 years,PhD,Technology & Science,190000.0
2772,1,1.6091243788779899,31 - 40 years,11 - 20 years,Master's degree,Public & Government,100000.0
