,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
4110,4,11 - 20 years,8 - 10 years,College degree,Education,bad payed
4111,0,5-7 years,5-7 years,College degree,Health,bad payed
4112,1,11 - 20 years,8 - 10 years,College degree,Unidentified,well payed
4113,0,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
4114,1,5-7 years,2 - 4 years,College degree,Technology & Science,well payed
4115,0,21 - 30 years,21 - 30 years,College degree,Non profit Organization,well payed
4116,4,2 - 4 years,2 - 4 years,College degree,Advertising,well payed
4117,3,31 - 40 years,1 year or less,Some college,Banking & Insurance,well payed
4118,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
4119,0,5-7 years,5-7 years,PhD,Health,very well payed
4120,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
4121,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,well payed
4122,0,21 - 30 years,5-7 years,College degree,Other,well payed
4123,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
4124,4,8 - 10 years,1 year or less,College degree,Law,bad payed
4125,1,11 - 20 years,11 - 20 years,College degree,Construction,bad payed
4126,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
4127,4,5-7 years,2 - 4 years,College degree,Health,bad payed
4128,0,21 - 30 years,21 - 30 years,Master's degree,Non profit Organization,well payed
4129,1,21 - 30 years,11 - 20 years,College degree,Human Ressources,well payed
4130,1,11 - 20 years,11 - 20 years,College degree,Other,well payed
4131,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
4132,1,21 - 30 years,8 - 10 years,College degree,Health,well payed
4133,4,11 - 20 years,2 - 4 years,College degree,Education,very bad payed 
4134,3,11 - 20 years,8 - 10 years,Master's degree,Culture,well payed
4135,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4136,3,21 - 30 years,11 - 20 years,Master's degree,Banking & Insurance,well payed
4137,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
4138,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
4139,0,5-7 years,5-7 years,College degree,Retail,bad payed
4140,4,5-7 years,2 - 4 years,College degree,Health,bad payed
4141,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
4142,1,21 - 30 years,5-7 years,College degree,Technology & Science,well payed
4143,2,8 - 10 years,5-7 years,College degree,Banking & Insurance,very well payed
4144,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
4145,4,11 - 20 years,2 - 4 years,College degree,Health,bad payed
4146,0,5-7 years,5-7 years,Master's degree,Education,bad payed
4147,1,21 - 30 years,8 - 10 years,College degree,Health,well payed
4148,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,bad payed
4149,1,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,well payed
4150,3,2 - 4 years,8 - 10 years,PhD,Education,well payed
4151,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
4152,0,11 - 20 years,5-7 years,College degree,Non profit Organization,well payed
4153,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,very well payed
4154,0,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Law,well payed
4155,1,11 - 20 years,11 - 20 years,High School,Technology & Science,very well payed
4156,0,5-7 years,5-7 years,Unknown,Human Ressources,bad payed
4157,1,11 - 20 years,2 - 4 years,College degree,Technology & Science,well payed
4158,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
4159,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
4160,2,11 - 20 years,8 - 10 years,PhD,Consulting,very well payed
4161,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4162,0,5-7 years,1 year or less,Some college,Construction,bad payed
4163,1,11 - 20 years,11 - 20 years,Master's degree,Human Ressources,well payed
4164,1,11 - 20 years,5-7 years,College degree,Culture,bad payed
4165,2,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Technology & Science,very well payed
4166,2,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,very well payed
4167,1,21 - 30 years,11 - 20 years,College degree,Industry,bad payed
4168,4,5-7 years,2 - 4 years,College degree,Health,bad payed
4169,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,well payed
4170,0,5-7 years,5-7 years,College degree,Industry,well payed
4171,3,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,bad payed
4172,0,8 - 10 years,5-7 years,Some college,Technology & Science,well payed
4173,1,21 - 30 years,21 - 30 years,College degree,Health,well payed
4174,4,2 - 4 years,2 - 4 years,College degree,Health,bad payed
4175,0,31 - 40 years,31 - 40 years,Master's degree,Education,well payed
4176,0,5-7 years,5-7 years,College degree,Education,well payed
4177,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
4178,0,5-7 years,5-7 years,College degree,Unidentified,well payed
4179,0,21 - 30 years,21 - 30 years,Master's degree,Education,well payed
4180,4,2 - 4 years,2 - 4 years,Master's degree,Education,well payed
4181,4,41 years or more,21 - 30 years,College degree,Industry,bad payed
4182,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Public & Government,well payed
4183,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4184,0,21 - 30 years,21 - 30 years,Master's degree,Advertising,well payed
4185,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,very well payed
4186,1,21 - 30 years,21 - 30 years,College degree,Public & Government,well payed
4187,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Culture,bad payed
4188,2,11 - 20 years,5-7 years,Master's degree,Industry,very well payed
4189,4,21 - 30 years,21 - 30 years,College degree,Public & Government,bad payed
4190,0,11 - 20 years,5-7 years,Master's degree,Health,well payed
4191,1,21 - 30 years,11 - 20 years,College degree,Advertising,very well payed
4192,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
4193,1,11 - 20 years,5-7 years,College degree,Construction,bad payed
4194,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
4195,4,2 - 4 years,2 - 4 years,College degree,Health,bad payed
4196,4,2 - 4 years,2 - 4 years,College degree,Advertising,bad payed
4197,4,11 - 20 years,2 - 4 years,College degree,Culture,bad payed
4198,2,21 - 30 years,21 - 30 years,PhD,Technology & Science,very well payed
4199,0,11 - 20 years,5-7 years,Master's degree,Other,well payed
4200,0,5-7 years,5-7 years,College degree,Consulting,well payed
4201,1,11 - 20 years,11 - 20 years,College degree,Other,bad payed
4202,0,5-7 years,2 - 4 years,Master's degree,Public & Government,bad payed
4203,0,5-7 years,5-7 years,Some college,Technology & Science,well payed
4204,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
4205,0,5-7 years,2 - 4 years,Master's degree,Culture,bad payed
4206,0,11 - 20 years,5-7 years,Some college,Advertising,well payed
4207,1,11 - 20 years,11 - 20 years,College degree,Retail,well payed
4208,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
4209,0,11 - 20 years,5-7 years,Master's degree,Education,well payed
4210,1,11 - 20 years,2 - 4 years,Some college,Technology & Science,well payed
4211,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
4212,1,11 - 20 years,11 - 20 years,College degree,Consulting,bad payed
4213,4,2 - 4 years,2 - 4 years,College degree,Other,very bad payed 
4214,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
4215,1,11 - 20 years,11 - 20 years,Master's degree,Other,well payed
4216,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,well payed
4217,3,8 - 10 years,8 - 10 years,College degree,Other,well payed
4218,0,21 - 30 years,11 - 20 years,High School,Non profit Organization,bad payed
4219,3,8 - 10 years,2 - 4 years,Master's degree,Education,very bad payed 
4220,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
4221,1,11 - 20 years,8 - 10 years,PhD,Education,well payed
4222,1,11 - 20 years,11 - 20 years,College degree,Health,well payed
4223,1,11 - 20 years,8 - 10 years,College degree,Law,well payed
4224,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
4225,3,8 - 10 years,2 - 4 years,Master's degree,Health,well payed
4226,0,8 - 10 years,5-7 years,Master's degree,Other,well payed
4227,2,8 - 10 years,5-7 years,Master's degree,Banking & Insurance,very well payed
4228,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
4229,1,5-7 years,2 - 4 years,College degree,Technology & Science,well payed
4230,0,5-7 years,5-7 years,College degree,Technology & Science,bad payed
4231,0,2 - 4 years,5-7 years,College degree,Law,well payed
4232,1,21 - 30 years,21 - 30 years,College degree,Consulting,very well payed
4233,1,11 - 20 years,5-7 years,College degree,Advertising,well payed
4234,1,11 - 20 years,11 - 20 years,Master's degree,Consulting,well payed
4235,3,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,well payed
4236,0,2 - 4 years,2 - 4 years,Master's degree,Industry,well payed
4237,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,bad payed
4238,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,bad payed
4239,0,5-7 years,5-7 years,College degree,Consulting,well payed
4240,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Health,very well payed
4241,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
4242,4,2 - 4 years,2 - 4 years,College degree,Other,well payed
4243,2,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,very well payed
4244,1,11 - 20 years,8 - 10 years,College degree,Consulting,well payed
4245,4,8 - 10 years,2 - 4 years,College degree,Culture,bad payed
4246,1,21 - 30 years,21 - 30 years,College degree,Public & Government,well payed
4247,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
4248,1,11 - 20 years,11 - 20 years,College degree,Public & Government,very well payed
4249,1,21 - 30 years,11 - 20 years,Some college,Health,well payed
4250,4,8 - 10 years,5-7 years,College degree,Culture,bad payed
4251,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
4252,3,21 - 30 years,21 - 30 years,High School,Banking & Insurance,well payed
4253,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,bad payed
4254,0,8 - 10 years,5-7 years,Some college,Retail,bad payed
4255,1,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,well payed
4256,4,5-7 years,2 - 4 years,College degree,Human Ressources,bad payed
4257,4,2 - 4 years,2 - 4 years,Master's degree,Health,bad payed
4258,1,8 - 10 years,2 - 4 years,College degree,Culture,well payed
4259,0,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,well payed
4260,0,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,well payed
4261,3,31 - 40 years,8 - 10 years,Some college,Culture,bad payed
4262,4,2 - 4 years,2 - 4 years,PhD,Public & Government,well payed
4263,0,5-7 years,5-7 years,Master's degree,Unidentified,well payed
4264,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,well payed
4265,0,5-7 years,5-7 years,Master's degree,Education,bad payed
4266,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
4267,2,11 - 20 years,8 - 10 years,PhD,Advertising,very well payed
4268,3,8 - 10 years,2 - 4 years,Master's degree,Human Ressources,well payed
4269,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
4270,3,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,well payed
4271,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,well payed
4272,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4273,0,5-7 years,2 - 4 years,College degree,Law,well payed
4274,1,11 - 20 years,8 - 10 years,College degree,Culture,well payed
4275,0,8 - 10 years,5-7 years,College degree,Advertising,well payed
4276,0,5-7 years,2 - 4 years,Master's degree,Public & Government,bad payed
4277,0,5-7 years,11 - 20 years,Master's degree,Technology & Science,well payed
4278,4,8 - 10 years,2 - 4 years,College degree,Technology & Science,bad payed
4279,4,11 - 20 years,2 - 4 years,High School,Advertising,bad payed
4280,2,31 - 40 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
4281,1,11 - 20 years,5-7 years,College degree,Health,well payed
4282,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
4283,4,1 year or less,1 year or less,College degree,Public & Government,bad payed
4284,1,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,well payed
4285,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
4286,2,11 - 20 years,5-7 years,Some college,Unidentified,bad payed
4287,4,2 - 4 years,2 - 4 years,PhD,Technology & Science,bad payed
4288,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
4289,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
4290,0,5-7 years,5-7 years,Master's degree,Education,bad payed
4291,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
4292,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
4293,4,11 - 20 years,2 - 4 years,College degree,Other,bad payed
4294,0,5-7 years,2 - 4 years,Master's degree,Public & Government,well payed
4295,0,2 - 4 years,2 - 4 years,Master's degree,Public & Government,well payed
4296,4,21 - 30 years,8 - 10 years,College degree,Public & Government,bad payed
4297,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,well payed
4298,1,21 - 30 years,11 - 20 years,College degree,Law,well payed
4299,1,11 - 20 years,11 - 20 years,College degree,Culture,well payed
4300,2,21 - 30 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
4301,0,21 - 30 years,21 - 30 years,Master's degree,Education,well payed
4302,3,8 - 10 years,8 - 10 years,PhD,Industry,very well payed
4303,0,5-7 years,5-7 years,PhD,Unidentified,well payed
4304,1,21 - 30 years,21 - 30 years,College degree,Culture,very bad payed 
4305,4,11 - 20 years,2 - 4 years,Master's degree,Education,bad payed
4306,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
4307,4,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Health,bad payed
4308,4,2 - 4 years,2 - 4 years,College degree,Public & Government,bad payed
4309,0,5-7 years,5-7 years,College degree,Banking & Insurance,bad payed
4310,0,21 - 30 years,5-7 years,College degree,Advertising,well payed
4311,4,2 - 4 years,2 - 4 years,College degree,Public & Government,bad payed
4312,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
4313,1,21 - 30 years,2 - 4 years,College degree,Technology & Science,well payed
4314,3,8 - 10 years,2 - 4 years,Master's degree,Law,well payed
4315,4,11 - 20 years,5-7 years,College degree,Education,bad payed
4316,0,5-7 years,11 - 20 years,College degree,Non profit Organization,well payed
4317,0,21 - 30 years,5-7 years,High School,Health,bad payed
4318,1,11 - 20 years,11 - 20 years,PhD,Education,very well payed
4319,1,11 - 20 years,2 - 4 years,College degree,Education,well payed
4320,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
4321,1,1 year or less,1 year or less,College degree,Technology & Science,well payed
4322,0,5-7 years,5-7 years,College degree,Other,well payed
4323,1,11 - 20 years,11 - 20 years,College degree,Retail,well payed
4324,0,2 - 4 years,2 - 4 years,PhD,Non profit Organization,well payed
4325,4,5-7 years,2 - 4 years,College degree,Unidentified,bad payed
4326,4,2 - 4 years,2 - 4 years,College degree,Human Ressources,bad payed
